"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.703023708E0,-2.721246656E-1,2.450155851E-1,-2.090069693E-1
3.713021708E0,-2.459590334E-1,1.586007544E-1,2.009267020E-1
3.723020708E0,-1.990686762E-1,1.669491166E-1,6.282944316E-1
3.733018708E0,-1.244861980E-1,1.986939427E-1,1.058372346E0
3.743016708E0,4.435346961E-2,2.770156422E-1,1.410222700E0
3.753014708E0,2.470575059E-1,3.145462883E-1,1.724825122E0
3.763013708E0,4.986171486E-1,2.886852229E-1,1.897371193E0
3.773011708E0,6.736181735E-1,2.057880771E-1,1.881380813E0
3.783009708E0,6.809307014E-1,1.429147214E-1,1.638880992E0
3.793007708E0,5.166012105E-1,1.249719554E-1,1.207892082E0
3.803006708E0,2.750946857E-1,2.034690714E-1,7.223199981E-1
3.813004708E0,9.359893911E-2,2.576733452E-1,1.999180573E-1
3.823002708E0,-5.033089545E-2,2.792986876E-1,-3.757233667E-1
3.833000708E0,-1.431845338E-1,3.039523029E-1,-7.961855346E-1
3.842999708E0,-1.512147344E-1,3.449301749E-1,-9.504947251E-1
