"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.859851309E2,6.045827590E1,2.481007325E1,6.750723637E1,1.554169219E0,1.373992821E2,2.330771538E0,3.000000000E0
1.869851040E2,6.045826788E1,2.481009900E1,6.750427532E1,1.585631920E0,1.308075818E2,2.314232977E0,3.000000000E0
1.879850777E2,6.045825914E1,2.481012327E1,6.755884987E1,1.577618156E0,1.279209557E2,2.310962437E0,3.000000000E0
1.889850514E2,6.045824954E1,2.481014475E1,6.775900277E1,1.575820061E0,1.305667793E2,2.295414310E0,3.000000000E0
1.899850256E2,6.045824012E1,2.481016211E1,6.768191660E1,1.575230901E0,1.332616280E2,2.281665454E0,3.000000000E0
1.909850008E2,6.045822841E1,2.481017690E1,6.748524007E1,1.572798548E0,1.402921081E2,2.267582194E0,3.000000000E0
1.919849755E2,6.045821932E1,2.481018927E1,6.738806751E1,1.573576215E0,1.428418661E2,2.254203079E0,3.000000000E0
1.929849504E2,6.045820794E1,2.481020461E1,6.726784853E1,1.594378681E0,1.446153262E2,2.241492930E0,3.000000000E0
1.939849266E2,6.045819772E1,2.481022245E1,6.721873249E1,1.583581792E0,1.425179389E2,2.229418277E0,3.000000000E0
1.949849020E2,6.045818723E1,2.481023809E1,6.680068865E1,1.566350783E0,1.410930631E2,2.217947347E0,3.000000000E0
1.959848779E2,6.045817537E1,2.481024996E1,6.689005721E1,1.572970125E0,1.425273219E2,2.207049984E0,3.002933071E0
1.969848546E2,6.045816238E1,2.481026168E1,6.685342468E1,1.580647020E0,1.479789128E2,2.196697490E0,3.000000000E0
1.979848319E2,6.045814870E1,2.481026836E1,6.664638674E1,1.587904704E0,1.559138050E2,2.186862620E0,3.000000000E0
1.989848078E2,6.045813232E1,2.481026158E1,6.651247303E1,1.619529019E0,1.744898049E2,2.177519498E0,3.000000000E0
1.999847857E2,6.045811672E1,2.481025025E1,6.649739675E1,1.608668377E0,1.875449698E2,2.172950869E0,3.000000000E0
2.009847621E2,6.045810369E1,2.481023404E1,6.632744380E1,1.580938547E0,1.989893811E2,2.164303333E0,3.000000000E0
2.019847401E2,6.045809066E1,2.481021282E1,6.587962225E1,1.588979327E0,2.090056813E2,2.156088154E0,3.000000000E0
2.029847177E2,6.045807788E1,2.481019804E1,6.607748706E1,1.585189928E0,2.090911220E2,2.148283757E0,3.000000000E0
2.039846947E2,6.045806447E1,2.481018227E1,6.640394114E1,1.589271280E0,2.091711677E2,2.154794922E0,3.000000000E0
2.049846725E2,6.045805303E1,2.481016510E1,6.654334528E1,1.569800349E0,2.127700632E2,2.147055187E0,3.000000000E0
2.059846511E2,6.045804151E1,2.481015023E1,6.685694842E1,1.566663734E0,2.112671029E2,2.139702426E0,3.000000000E0
2.069846284E2,6.045803074E1,2.481013944E1,6.665682869E1,1.570636055E0,2.074978234E2,2.132717294E0,3.000000000E0
2.079846069E2,6.045802003E1,2.481012382E1,6.664774500E1,1.571277820E0,2.098147861E2,2.126081419E0,3.000000000E0
2.089845858E2,6.045801035E1,2.481011007E1,6.677682448E1,1.534839386E0,2.107280112E2,2.119777349E0,3.000000000E0
2.099845638E2,6.045799744E1,2.481009967E1,6.709748859E1,1.530424022E0,2.098783055E2,2.144751509E0,3.000000000E0
2.109845423E2,6.045798437E1,2.481009125E1,6.672997107E1,1.581962227E0,2.041946687E2,2.137513924E0,3.000000000E0
2.119845206E2,6.045797272E1,2.481008411E1,6.638057772E1,1.539099352E0,1.989581083E2,2.130638208E0,3.000000000E0
2.129844997E2,6.045796092E1,2.481007532E1,6.636231553E1,1.549907686E0,1.982514379E2,2.124106290E0,3.000000000E0
